"source","device","model_id","variant_id","seed_index","planned_owner","is_planned_owner","status","epochs_completed","history_rows","parameter_count","active_parameter_count","family","architecture_name","description","purpose","comparison_role","generic_pair_enabled","stf_a1_enabled","stf_out_enabled","carrier_mode","gated_identity_initialization","best_epoch","train_loss","validation_loss","final_train_loss","final_validation_loss","test_mae","test_sae","test_rmse","test_r2","duration_seconds","mean_epoch_seconds","d6_passed","d6_local_relative_l2","d6_world_relative_l2","world_rotation_relative_l2","trial_hash","study_hash","source_sha256","history_sha256","best_sha256","final_sha256","gate_audit_sha256","split_manifest_hash","split_indices_sha256","finished_at_utc","host","python","torch","cuda","comet_project","comet_experiment_name","comet_experiment_key","comet_url","local_model_directory","is_primary"
"CPU","cpu","G101","1","1","CPU","True","complete","500","501","36178","14926","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","E311 control with generic pairs off and both STF directions active","Fresh paired-seed E311 control under the G CPU protocol","control","False","True","True","direct","","496","1.0165364318045448e-05","1.0824590178715394e-05","1.0639845260129733e-05","1.1468085375768147e-05","0.0008656745155001571","103.88094186001885","0.001350630567046454","0.9999891597832052","35972.84660099447","71.62326498283446","True","3.5442271381458985e-07","3.4349120623273225e-07","9.169302787868996e-06","8159687f0a3eafc1c0b9620f5ff82dcec0594034dbb3ad00677e1c1ef66b63bd","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","bda84c615f7ce9d005f30c41a63a3274d8eabcec0da665017ab2fb3d21e04577","ce140424a17e2db273243b952609e0f41dafce867cb074c91c9469b7532dc4f8","85b863e050793a15549561249e85df380b4839b95e4716e95f8a9aa513e55e19","35e476e246936ab2b7310e110eb654c77edf440c8edbcf5c6e2ca28ac07f5075","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-20T15:11:28.047470+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G101","2ef5616b2fea43e1afa07f6e2988c99e","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/2ef5616b2fea43e1afa07f6e2988c99e","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G101","True"
"CPU","cpu","G102","2","1","CPU","True","complete","500","501","36178","14906","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","Generic pairs off with only the a1 STF direction active","Measure the out-stage STF contribution","candidate","False","True","False","direct","","496","9.687411495671046e-06","1.046229839553278e-05","1.0588080991169591e-05","1.1272208498711328e-05","0.000842275407255794","101.07304887069529","0.0013133820681230425","0.9999897494543486","35911.801400877535","71.48659187541902","True","2.677715167555622e-07","4.6613226100965994e-07","1.2435657386498192e-05","ded581b0fd14896e41551f2d57a670480e15b114955b779c7fcf1b730d87bb29","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","93f4d315dd43ff07c6224539b99e83511131949c79550b73eaf1214480129c77","e14cd9302c9c71b61cc0c5a1b51904517704b5b45b23a063f6bf4bfedac3ad15","be1851de933d5c8ee45471184c5b295b199b4000f495b181a28a2a4e60bfa10d","0e86c5d2867a01adba810869f261df300bc17317da0085b534dc4e5fc15f114d","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-20T15:10:27.964717+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G102","8f0c3cc94f344cbca0d1f34c54851cbb","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/8f0c3cc94f344cbca0d1f34c54851cbb","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G102","True"
"CPU","cpu","G103","3","1","CPU","True","complete","500","501","36178","14906","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","Generic pairs off with only the out STF direction active","Measure the a1-stage STF contribution","candidate","False","False","True","direct","","497","1.515759087009891e-05","1.664924532385601e-05","1.647042695935852e-05","1.88720468971191e-05","0.0010495115840390608","125.9413900846873","0.0016581435862986472","0.9999836616163408","36609.77294725925","72.82799770523607","True","2.7257965742665404e-07","2.4804361071127433e-07","7.85508548947189e-06","65ef4286643c8934b7a64bdf7c1f95f3d1ac71476738ddf9e832ea2d46b03dd9","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","88bbe145ccb3ebca2ac30fe5014bcacb2676d46251702850ab09780451bb3d36","59b61743763547a5e8238ee02289d851e5b3f1e7d9c36c06994ae4ba3cd3d2b3","aaa527d8b1908556ef85645cd7db9519eab0e64fa06f1f2949356e85a82ae873","b6755dc6633a3607d1de50bfb6fb962b5f6486f1179faebe0ba6e7e479ad1939","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-20T15:22:08.390676+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G103","ddaae5de56ef4352ae27934a8452f97d","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/ddaae5de56ef4352ae27934a8452f97d","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G103","True"
"CPU","cpu","G104","4","1","CPU","True","complete","500","501","36178","14886","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","Generic pairs off with both covariant STF directions inactive","Measure the combined covariant STF contribution","candidate","False","False","False","direct","","488","1.8954169570250275e-05","2.006298984702351e-05","2.0856489257425892e-05","2.780480225959333e-05","0.001172847663477032","140.74171961724386","0.0018879737404239464","0.9999788184997068","35788.675460428","71.25545424735546","True","2.224018940114041e-07","2.035299841699495e-07","1.0007232176284204e-05","1863902ebeb51c163c224d9575aae38ff435793529da8ef51bc79e429a8931ca","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","ef15c89b3b3cebdcaf9eb53335358f36768287aad8c8ee37bd31d1f5d3f5e505","b8872c77220cba14554a297cf151b0f24b987abebdaf6692c7d5653366811081","e7259354ddbf555b599574dae0057518d07e2d9aad6aa1d34187e643383f9451","db517130b0d2846a9b787415f12f23b917ace092f56e3963f19aba7c9355613e","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-20T15:08:24.521129+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G104","712fadbc64b4420999b90bcb5590ba87","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/712fadbc64b4420999b90bcb5590ba87","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G104","True"
"CPU","cpu","G105","5","1","CPU","True","complete","500","501","36178","36079","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","Generic raw-containing pair covariants and both STF directions active","Add the generic pair bank to the E311 mechanism","candidate","True","True","True","direct","","459","2.4981587470145834e-06","2.8260373313952943e-06","2.794818806250987e-06","3.024952818293215e-06","0.0004354111722038003","52.249340664456035","0.00068134742049065","0.9999972413153949","52628.42215807736","104.78892731256784","True","2.688067869378151e-07","2.4093554268496586e-07","7.88043308741378e-06","9c75f65d35c4d06737e7baf6d34b56aaf933dc37b53eaab18e54334e96e924a9","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","b916ca1ef15b29b3aa64087cf3b7505f3b3295720a3935fa990d8e085bf11e7b","0045717ff558d46e2656efa4610bc8233381ff9d12f27bd3062c7706d82569de","9a444d075c2f881a57f7ca11305e26a062b938a15ba6553cfb300e487c4e73ff","eb1de1a35fea6452c78b3abf7b7f6ad2f6bd641a83a7bc389ac2b622858550cd","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-20T19:49:01.598665+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G105","2ede20a572c4402f8edc9a44095f7151","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/2ede20a572c4402f8edc9a44095f7151","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G105","True"
"CPU","cpu","G106","6","1","CPU","True","complete","500","501","36178","36059","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","Generic pair covariants with only the a1 STF direction active","Test generic-pair substitution for the out STF direction","candidate","True","True","False","direct","","493","3.081044953998494e-06","3.44516967751875e-06","4.0167049419892464e-06","3.5216471344663657e-06","0.00048107603719225236","57.729124463070285","0.0007408013275492366","0.9999967388684123","52053.638302348554","103.66103638055921","True","3.109567660588216e-07","3.179291361166124e-07","7.039462818044799e-06","8c8240c8d2f280f508a4e85d5170803c414ec5e4e9b2717e92178670edd21c4d","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","8c6dd6fe2972be2d3951f6be3097242ca386db9b3c558f37af766de051b91305","9564ce8a569cc6bafcd631801b98ca574f2790c0ccd2c7799db1f1ef06e721e5","054bb37de366db81bf507f4bfaa8df5e10de2e068065cce879493be9a21ecba2","7c38b8acfae5522eff7981bcd7fd96ca3322956629dd2d9b7e5d552619ad4f7c","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-20T19:39:26.968787+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G106","08437ac54ab84ad69135474540598916","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/08437ac54ab84ad69135474540598916","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G106","True"
"CPU","cpu","G107","7","1","CPU","True","complete","500","501","36178","36059","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","Generic pair covariants with only the out STF direction active","Test generic-pair substitution for the a1 STF direction","candidate","True","False","True","direct","","491","5.046672027561429e-06","5.903287464119381e-06","6.040641886784215e-06","6.69174138631392e-06","0.0005952531713299405","71.43038055959286","0.0009769984329497663","0.9999943277867054","51201.02546842396","101.95983033452929","True","4.1222104487617675e-07","2.284814671797067e-07","9.974518530169604e-06","bd316eac7533520461f33c496bc393e7768ebce8f70b3d874d444be92ab3fda5","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","6b2531b6fb58093d132649b0ce0db3e53deb6f071e3ac6c8e17470e20d129efa","2f6c711d5e794445e2c40028147c486e449b19052e807295f3c061a813391e51","a28f7324ea97c51315faf3a0bbeb15f032d8ea2bd7fe844ff1f4667f7414a708","aaa41414f237f1b97e4206fe9060c9a61f78adcd1496dac51c068d714ebe25a6","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-20T19:25:14.035848+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G107","630d9c1f984a45bf8c4232990b71d118","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/630d9c1f984a45bf8c4232990b71d118","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G107","True"
"CPU","cpu","G108","8","1","CPU","True","complete","500","501","36178","36039","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","Generic pair covariants active with both STF directions inactive","Test the generic pair bank without covariant STF directions","candidate","True","False","False","direct","","498","5.172872675684449e-06","5.847394459910815e-06","6.26991605230387e-06","5.985547816690459e-06","0.0006133779541143532","73.60535449372239","0.0009846793638545821","0.9999942382489188","51862.3962983191","103.25502785179019","True","4.976201350697438e-07","2.013832297031273e-07","1.0686417866280653e-05","cf2598cda78c3d07bf829a704ceae2294fbef9a687742c7fba915fa9fb4d2485","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","af4772f9090e68915619e12b4938eeb98c42e92ab2888932d8b6c192e01ceaf8","011605d0dd6ea48c4f45700820c4c28361171273323cb73766da06b8aaa620a4","49d330093edaf4fc363c6fd0d89f474efd7a49c6ae4580a5c2ce942ba422a198","a1e6a1f67c6c05b4846b6b77000ab20ea3f24302e74a7d80eb019327f9384746","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-20T19:36:14.758624+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G108","390fe0d36e6d47b9999cf2633014bada","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/390fe0d36e6d47b9999cf2633014bada","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G108","True"
"CPU","cpu","G109","9","1","CPU","True","complete","500","501","36178","14913","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","All direct same-TypeKey carriers inactive","Test whether the complete direct carrier bundle is necessary","candidate","False","True","True","none","","478","8.762001794812161e-06","9.353201480018852e-06","1.014184667695872e-05","1.3936925184687271e-05","0.0008079193728894556","96.95032474673467","0.0012545525680749663","0.9999906471806348","41629.850064501166","82.88613070338964","True","2.9343071875630006e-07","2.9817453720558027e-07","1.016672655407031e-05","cd28760316603275ad70a549c79619e7386d23771331e9227f19d37fb607b49c","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","4bc734bfe1d2b0f67480cc85dbc2b395a1b0069ef448703935b79c158dfd7f51","862b5947699cee0d9f546b08fef79bf7d86006407251b49992e1c0985405d6a4","1698583b65b598f016a465a1eb9789575237c9ceb9d1e2892b094b1ce499f3c1","b2e52d258a9b3770c2d77c9f96466947897e43832f9adbb7d4636f1db0b5145e","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-21T02:45:41.745740+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G109","802c367d5e9040c8a2e83de6f4e13fc2","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/802c367d5e9040c8a2e83de6f4e13fc2","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G109","True"
"CPU","cpu","G110","10","1","CPU","True","complete","500","501","36178","15025","e311_fixed_shape_audit","E311 fixed-shape mechanism audit","Gated identity carriers with residual-zero initialization","Test a learnable carrier initialized as the direct identity route","candidate","False","True","True","gated_identity","residual_zero","500","1.1571949028694357e-05","1.2336931286975058e-05","1.2219374866617727e-05","1.2336931286975058e-05","0.0009294262939651588","111.53115527581905","0.0014320623473830327","0.9999878132284088","41032.83554730564","81.71974574066698","True","2.782251756352731e-07","2.1850502064048002e-07","8.268475144567084e-06","ae5ca18606e75be46c38b4bbdbe0c70c0b7acba89f4dc8995f8a2ea6404b3f3d","efc7bcaf9ccc441246f0b14e73529cb58d157cf972b503c4e2e38c45b9cf9ef9","c3d2a52ac9236c5739798a7a096ec592abe55daa7d4a766c43ce099e7d7dc513","049bd455193ace7e3100abcebf8ed82750f51d8689fd9cab856bc429d8c3b959","05c31c42f09939038e2a5e207fabe78086ee2416c0ace824f3bab7fb68479751","fef75013dcd068354544daaf8be62c6aa1ecd39c81d7ebd9feb5cd61630358e2","60f566ecc049852665c3f2249f6470369c6fb30513940ceda873898221095b63","3a64eb6ac96805aad4fe41ef1fd44a0cdc2417d193f8c0852244780a3563ec98","50e6bf0e32c1bb9b0bddb689097a4a38a5d74a5bcf12b0fc8471f6b1f4cf50b1","2026-08-21T02:34:45.419885+00:00","autodl-container-78e6489fef-d01a013d","3.12.13","2.13.0+cpu","","tfenn_g_series_e311_mechanisms_cpu","G110","73dad8385cfe4cdbb0a43ff55181cf8c","https://www.comet.com/jerry2/tfenn-g-series-e311-mechanisms-cpu/73dad8385cfe4cdbb0a43ff55181cf8c","D:\Python\Projects\TFENN\outputs\01a01d6b-0968-72a2-8e04-492ad143a944\g_series_48_model_collection_20260822\raw\CPU\models\G110","True"
